(3227, 256, 5) (3227, 1)
Training Shape: (2879, 256, 5) (2879, 1)
Valid Shape: (348, 256, 5) (348, 1)
(2078, 256, 5) (2078, 1)
Training Shape: (1845, 256, 5) (1845, 1)
Valid Shape: (233, 256, 5) (233, 1)
E364: T:0.001616548397578299 V:0.011865871027112007
E365: T:0.0013068016851320863 V:0.014466604217886925
E366: T:0.0007956608897075057 V:0.012531133368611336
E367: T:0.0006178118637762964 V:0.010155132971704006
E368: T:0.0006282313843257725 V:0.012507584877312183
E369: T:0.0005445927963592112 V:0.01016252115368843
E370: T:0.0005664037889800966 V:0.012591419741511345
E371: T:0.0004896579775959253 V:0.011020449921488762
E372: T:0.0006004130118526518 V:0.011486917734146118
E373: T:0.0005432184552773833 V:0.012089305557310581
E374: T:0.0005728443502448499 V:0.011645822785794735
E375: T:0.0005894429050385952 V:0.010709000751376152
E376: T:0.0005161424051038921 V:0.011778473854064941
E377: T:0.0005741321365348995 V:0.01269681565463543
E378: T:0.0005827072891406715 V:0.011903789825737476
E379: T:0.0004848263633903116 V:0.011615746654570103
E380: T:0.0006298514199443161 V:0.009133118204772472
E381: T:0.0005488630849868059 V:0.008954462595283985
E382: T:0.0005306162056513131 V:0.012156623415648937
E383: T:0.0007040000637061894 V:0.01140409242361784
E384: T:0.0005113377119414508 V:0.014730309136211872
E385: T:0.0004951495211571455 V:0.010852782055735588
E386: T:0.0005081802373751998 V:0.011696922592818737
E387: T:0.0005074075306765735 V:0.011847286485135555
E388: T:0.0005590260843746364 V:0.010153066366910934
E389: T:0.000523648748639971 V:0.009289909154176712
E390: T:0.0004793866246473044 V:0.012722319923341274
E391: T:0.0004843646311201155 V:0.011640435084700584
E392: T:0.0004851847479585558 V:0.01161982025951147
E393: T:0.0005100014386698604 V:0.008771958760917187
E394: T:0.0005359009373933077 V:0.011453014798462391
E395: T:0.0004885823000222445 V:0.011426746845245361
E396: T:0.0005214970442466438 V:0.010168137960135937
E397: T:0.0005469754687510431 V:0.009228980168700218
E398: T:0.0005665705539286137 V:0.006377866491675377
E399: T:0.000589459843467921 V:0.009390739724040031
E400: T:0.0004987852880731225 V:0.01194618921726942
E401: T:0.0005111065111123025 V:0.010350493714213371
E402: T:0.0004789302183780819 V:0.011564607731997967
E403: T:0.0004972901660948992 V:0.010262995958328247
E404: T:0.0004719923890661448 V:0.010807416401803493
E405: T:0.0005014935159124434 V:0.009306821040809155
E406: T:0.0004826434305869043 V:0.01021036971360445
E407: T:0.0004996704519726336 V:0.010680736973881721
E408: T:0.00048537831753492355 V:0.012459436431527138
