(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Valid Shape: (348, 256, 4) (348, 1)
(2078, 256, 4) (2078, 1)
Training Shape: (1845, 256, 4) (1845, 1)
Valid Shape: (233, 256, 4) (233, 1)
E305: T:0.056091129779815674 V:0.09702082723379135
E306: T:0.05611968785524368 V:0.10673549026250839
E307: T:0.05604654550552368 V:0.09713947772979736
E308: T:0.05614200234413147 V:0.1125597208738327
E309: T:0.05616309866309166 V:0.09296681731939316
E310: T:0.056136395782232285 V:0.09818613529205322
E311: T:0.056283921003341675 V:0.10819816589355469
E312: T:0.056200653314590454 V:0.09174362570047379
E313: T:0.05634390562772751 V:0.094083771109581
E314: T:0.05625919997692108 V:0.09510820358991623
E315: T:0.055963337421417236 V:0.11120516806840897
E316: T:0.05633615329861641 V:0.09651677310466766
E317: T:0.05610883608460426 V:0.09200428426265717
E318: T:0.05622679740190506 V:0.08604172617197037
E319: T:0.05615775287151337 V:0.10580466687679291
E320: T:0.05620352178812027 V:0.09493795037269592
E321: T:0.05609907954931259 V:0.10105223208665848
E322: T:0.05626266077160835 V:0.09903886169195175
E323: T:0.05620970577001572 V:0.0969838947057724
E324: T:0.05615193396806717 V:0.1045139953494072
E325: T:0.055916424840688705 V:0.1142793595790863
E326: T:0.05602332204580307 V:0.09949912875890732
E327: T:0.055997584015131 V:0.10332638770341873
E328: T:0.05634895712137222 V:0.10777750611305237
E329: T:0.056140899658203125 V:0.09729550033807755
E330: T:0.056102387607097626 V:0.10016269236803055
E331: T:0.056137293577194214 V:0.10452667623758316
E332: T:0.05618130415678024 V:0.10009525716304779
E333: T:0.056150637567043304 V:0.08862720429897308
E334: T:0.05603325739502907 V:0.10242193937301636
E335: T:0.056161586195230484 V:0.09039760380983353
E336: T:0.056270428001880646 V:0.1017359122633934
E337: T:0.05622963234782219 V:0.0986068993806839
E338: T:0.05608176067471504 V:0.10187297314405441
E339: T:0.056080833077430725 V:0.11004482209682465
E340: T:0.0562087744474411 V:0.09858717769384384
E341: T:0.056166552007198334 V:0.09959866851568222
E342: T:0.056056056171655655 V:0.10560928285121918
E343: T:0.05623945966362953 V:0.10357324033975601
E344: T:0.05624191462993622 V:0.09644018113613129
E345: T:0.05604369565844536 V:0.0907299742102623
E346: T:0.05621950328350067 V:0.09624360501766205
E347: T:0.05617260932922363 V:0.0903014987707138
E348: T:0.05610854551196098 V:0.08378490060567856
E349: T:0.056251559406518936 V:0.10921764373779297
E350: T:0.05621076375246048 V:0.09113338589668274
E351: T:0.05607632175087929 V:0.10880514234304428
E352: T:0.05615730211138725 V:0.0989779457449913
E353: T:0.05616879090666771 V:0.09951355308294296
