Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E268: T:0.00013109239807818085 V:0.1401216834783554
E269: T:0.00013086436956655234 V:0.10095738619565964
E270: T:0.0001438027247786522 V:0.0879824087023735
E271: T:0.00014169563655741513 V:0.08030889183282852
E272: T:0.00011983385775238276 V:0.09524550288915634
E273: T:0.00013309727364685386 V:0.10906561464071274
E274: T:0.00012437922123353928 V:0.11045780032873154
E275: T:0.00013841067266184837 V:0.11521810293197632
E276: T:0.00013249901530798525 V:0.09807565808296204
E277: T:0.0001326509955106303 V:0.13593588769435883
E278: T:0.00013592983304988593 V:0.12366262823343277
E279: T:0.00012516658171080053 V:0.11187966912984848
E280: T:0.0001242711878148839 V:0.09517020732164383
E281: T:0.00014891124737914652 V:0.13036982715129852
E282: T:0.00011980827548541129 V:0.09975740313529968
E283: T:0.00013143378600943834 V:0.12615074217319489
E284: T:0.00011988371988991275 V:0.10972888767719269
E285: T:0.00015009133494459093 V:0.10122642666101456
E286: T:0.00014499008830171078 V:0.16669116914272308
E287: T:0.00013702112482860684 V:0.0976024642586708
E288: T:0.00012573026469908655 V:0.10620393604040146
E289: T:0.00011303713836241513 V:0.05311307683587074
E290: T:0.00014300552720669657 V:0.08484829217195511
E291: T:0.00013050688721705228 V:0.13612966239452362
E292: T:0.00011239538434892893 V:0.13132913410663605
E293: T:0.00013448548270389438 V:0.08151315897703171
E294: T:0.00011317891767248511 V:0.10487829893827438
E295: T:0.00010299323912477121 V:0.13476577401161194
E296: T:0.0001101595553336665 V:0.12219665199518204
E297: T:0.00012696514022536576 V:0.11653504520654678
E298: T:0.00012413783406373113 V:0.162852481007576
E299: T:0.00013863084313925356 V:0.11798121780157089
E300: T:0.00012064647307852283 V:0.08622469753026962
E301: T:0.0001268411724595353 V:0.11498087644577026
E302: T:0.00011000093218171969 V:0.13659371435642242
E303: T:0.00010198842210229486 V:0.11729021370410919
E304: T:0.00011532606731634587 V:0.0943782851099968
E305: T:0.00012926624913234264 V:0.11367989331483841
E306: T:0.00014070990437176079 V:0.13536371290683746
E307: T:0.00011138879926875234 V:0.17464832961559296
E308: T:0.00011786988761741668 V:0.1561099737882614
E309: T:0.00010973698226734996 V:0.14830060303211212
E310: T:0.00012233802408445626 V:0.14025121927261353
E311: T:0.0001174538629129529 V:0.09880775958299637
E312: T:0.0001195615841425024 V:0.09594487398862839
